@relation 'airpollution'
@attribute SPM numeric
@attribute RPM numeric
@attribute SO numeric
@attribute NO numeric
@data
296 164 9 90 
315 149 10 94 
282 134 10 96 
282 140 10 104 
344 187 9 93 
361 173 11 96 
292 158 9 94 
361 182 12 97 
367 186 13 125 
363 176 10 100 
308 152 14 123 
411 234 11 99 

390 200 12 107 
384 184 18 131 
291 135 10 89 
328 159 13 118 
290 147 12 104 
366 191 10 113 
288 169 13 92 
318 148 11 96 
433 248 20 142
343 175 15 103 
377 175 11 101 
352 175 12 100
333 168 12 113 
308 159 10 84 
444 215 15 108 
310 171 10 96 
353 179 11 94 
274 117 10 90 
284 123 9 86 
319 144 10 98 
367 195 10 107 
387 189 11 106 
310 151 12 94 
350 166 12 93 
456 239 13 120 
385 195 11 105 
432 216 15 110 
420 207 11 94 
345 166 11 96  
399 213 13 110 
453 217 11 110 
391 180 10 102 
345 140 13 98
456 239 13 120 
385 195 11 105  
420 207 11 94 
256 152 9 70 
230 111 9 69 
247 119 10 72 
288 121 10 71 
269 129 9 75 
254 123 9 66 
216 88 8 61 
234 98 7 64 
228 109 8 58 
198 89 7 58 
245 120 8 64 
236 107 8 66 
237 99 8 65 
205 99 6 51 
235 114 6 74 
269 135 8 66 
265 125 9 78 
244 110 9 69 
215 112 7 53 
222 103 9 71 
190 84 7 62 
143 61 7 55 
179 81 8 52 
134 59 8 61 
206 83 8 62 
264 126 7 67 
260 112 9 71 
250 117 10 83 
274 151 12 73 
263 142 7 69 
365 165 11 90 
352 198 14 92 
344 192 10 91 
300 144 11 91 
316 149 11 93 
283 133 10 84 
285 151 9 99 
291 153 9 82 
376 200 11 101 
395 239 10 102 
402 187 11 98 
368 199 11 97 
403 223 12 103 
283 171 10 102 
315 174 11 99 
393 193 11 104 
343 193 9 94 
311 154 11 109 
392 188 12 114 
348 212 10 104 
306 176 9 90 
296 150 12 107 
310 169 10 96 
296 164 9 90 
315 149 10 94 
282 134 10 96 
282 140 10 104 
344 187 9 93 
361 173 11 96 
292 158 9 94 
361 182 12 97 
367 186 13 125 
363 176 10 100 
308 152 14 123 
411 234 11 99 
390 200 12 107 
384 184 18 131 
291 135 10 89 
328 159 13 118 
290 147 12 104 
366 191 10 113 
288 169 13 92 
318 148 11 96 
433 248 20 142
343 175 15 103 
377 175 11 101 
352 175 12 100
333 168 12 113 
308 159 10 84 
444 215 15 108 
310 171 10 96 
353 179 11 94 
274 117 10 90 
284 123 9 86 
319 144 10 98 
367 195 10 107 
387 189 11 106 
310 151 12 94 
350 166 12 93 
456 239 13 120 
385 195 11 105 
432 216 15 110 
420 207 11 94 
345 166 11 96  
399 213 13 110 
453 217 11 110 
391 180 10 102 
345 140 13 98
456 239 13 120 
385 195 11 105  
 




